what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1510672319339
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1510672319339
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1510672319339
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1510672319340
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1510672319340
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1510672319340
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1510672319341
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1510672319341
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1510672319341
os,sysinfo,,,"win32",1510672319343
arch,sysinfo,,,"x86",1510672319343
ws,sysinfo,,,"win32",1510672319343
locale,sysinfo,,,"en_GB",1510672319343
processors,sysinfo,,,"8",1510672319343
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1510672319343
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1510672319343
java.specification.name,sysinfo,,,"Java Platform API Specification",1510672319343
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1510672319343
java.specification.version,sysinfo,,,"1.6",1510672319343
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1510672319343
java.version,sysinfo,,,"1.6.0_23",1510672319343
java.vm.info,sysinfo,,,"mixed mode",1510672319343
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1510672319343
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1510672319343
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1510672319343
java.vm.specification.version,sysinfo,,,"1.0",1510672319343
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1510672319343
java.vm.version,sysinfo,,,"19.0-b09",1510672319343
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1510672321028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672324177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672325949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672328152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672358935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672359005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672360282
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1510672360320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672365233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672370523
